duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty_level
5,tcp,http,SF,823,6885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,12,0.03,0.03,0,0,0.96,0.04,0,171,240,0.96,0.04,0,0,0,0,0,0,normal,21
3,tcp,http,SF,1205,9796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,0.02,0.02,0,0,0.94,0.06,0,23,181,0.9,0.1,0,0,0,0,0,0,normal,21
2,tcp,eco_i,RSTO,73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.19,0.6,0,198,7,0,0.8,0.79,0,0,0,0,0,nmap,17
5,tcp,eco_i,REJ,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.15,0.79,0,214,5,0,0.82,0.97,0,0,0,0,0,portsweep,13
6,tcp,ftp_data,SF,996,9986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,7,0.01,0.01,0,0,0.92,0.08,0,199,154,0.93,0.07,0,0,0,0,0,0,normal,21
4,icmp,eco_i,SF,73,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0.07,0.94,0,252,7,0,0.78,0.66,0,0,0,0,0,portsweep,16
0,tcp,http,S0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,333,0.99,0.99,0,0,0.98,0.0,0,255,18,0.03,0,0,0,0.99,0,0,0,neptune,18
3,tcp,smtp,SF,2257,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.04,0.04,0,0,0.91,0.09,0,202,33,0.88,0.12,0,0,0,0,0,0,normal,21
7,tcp,http,SF,1675,8713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0.03,0.03,0,0,0.94,0.06,0,204,181,0.95,0.05,0,0,0,0,0,0,normal,21
0,tcp,http,S0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,441,0.99,0.99,0,0,0.97,0.06,0,255,23,0.01,0,0,0,0.99,0,0,0,neptune,16
4,tcp,private,RSTO,69,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0.16,0.9,0,227,5,0,0.71,0.94,0,0,0,0,0,ipsweep,14
2,tcp,private,SH,85,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0.16,0.65,0,171,7,0,0.77,0.71,0,0,0,0,0,satan,12
110,tcp,telnet,SF,3597,6547,0,0,0,0,0,1,0,1,1,5,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,buffer_overflow,11
7,tcp,ftp_data,SF,1658,10560,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0.0,0.0,0,0,0.92,0.08,0,185,144,0.85,0.15,0,0,0,0,0,0,normal,21
9,udp,smtp,SF,2299,10265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,8,0.03,0.03,0,0,0.91,0.09,0,255,220,0.93,0.07,0,0,0,0,0,0,normal,21
2,udp,ftp_data,SF,1173,8705,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,7,0.01,0.01,0,0,0.9,0.1,0,190,52,0.93,0.07,0,0,0,0,0,0,normal,21
0,tcp,domain_u,SF,983,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0.02,0.02,0,0,0.95,0.05,0,225,56,0.89,0.11,0,0,0,0,0,0,normal,21
8,tcp,http,SF,1665,13346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,6,0.01,0.01,0,0,0.93,0.07,0,160,142,0.93,0.07,0,0,0,0,0,0,normal,21
3,tcp,ftp_data,SF,462,10253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,2,0.02,0.02,0,0,0.9,0.1,0,95,243,0.95,0.05,0,0,0,0,0,0,normal,21
1,tcp,domain_u,SF,2416,7837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0.04,0.04,0,0,0.98,0.02,0,107,192,0.89,0.11,0,0,0,0,0,0,normal,21
1,tcp,private,RSTO,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0.16,0.71,0,218,9,0,0.93,0.77,0,0,0,0,0,ipsweep,15
0,icmp,other,SF,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0.06,0.82,0,221,10,0,0.57,0.91,0,0,0,0,0,portsweep,15
0,tcp,private,S0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,268,0.88,0.88,0,0,0.92,0.06,0,255,9,0.17,0,0,0,0.88,0,0,0,teardrop,16
0,tcp,private,S0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,349,0.92,0.92,0,0,0.95,0.09,0,255,29,0.04,0,0,0,0.92,0,0,0,teardrop,17
1,tcp,http,SF,996,2412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0.02,0.02,0,0,0.93,0.07,0,210,134,0.98,0.02,0,0,0,0,0,0,normal,21
6,udp,ftp_data,SF,2192,10930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,3,0.04,0.04,0,0,0.99,0.01,0,91,130,0.94,0.06,0,0,0,0,0,0,normal,21
2,tcp,http,SF,1106,12169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.01,0.01,0,0,0.94,0.06,0,216,207,0.98,0.02,0,0,0,0,0,0,normal,21
60,tcp,telnet,SF,1895,9660,0,0,0,0,0,1,0,1,1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,rootkit,6
8,udp,smtp,SF,702,9485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,4,0.03,0.03,0,0,0.92,0.08,0,181,55,0.85,0.15,0,0,0,0,0,0,normal,21
5,tcp,private,REJ,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.16,0.89,0,240,9,0,0.95,0.79,0,0,0,0,0,ipsweep,14
0,tcp,private,REJ,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,289,0.84,0.84,0,0,0.98,0.06,0,255,45,0.04,0,0,0,0.84,0,0,0,back,18
1,udp,domain_u,SF,2306,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.05,0.05,0,0,0.92,0.08,0,122,91,0.93,0.07,0,0,0,0,0,0,normal,21
1,tcp,http,SF,2473,11035,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.01,0.01,0,0,0.94,0.06,0,187,52,0.89,0.11,0,0,0,0,0,0,normal,21
3,tcp,http,SF,2442,2036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,6,0.02,0.02,0,0,0.95,0.05,0,71,103,0.99,0.01,0,0,0,0,0,0,normal,21
0,udp,smtp,SF,2341,2051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,0.01,0.01,0,0,0.92,0.08,0,69,186,0.94,0.06,0,0,0,0,0,0,normal,21
10,tcp,smtp,SF,2018,4787,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,0.03,0.03,0,0,0.92,0.08,0,33,75,0.92,0.08,0,0,0,0,0,0,normal,21
6,tcp,ftp_data,SF,1537,4432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0.04,0.04,0,0,0.91,0.09,0,141,209,0.88,0.12,0,0,0,0,0,0,normal,21
0,tcp,http,REJ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,383,0.96,0.96,0,0,0.99,0.1,0,255,15,0.1,0,0,0,0.96,0,0,0,teardrop,16
7,udp,http,SF,2497,8226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.01,0.01,0,0,0.92,0.08,0,59,72,0.86,0.14,0,0,0,0,0,0,normal,21
2,udp,http,SF,515,5257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,0.03,0.03,0,0,0.94,0.06,0,238,232,0.97,0.03,0,0,0,0,0,0,normal,21
6,udp,http,SF,1635,12652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0.03,0.03,0,0,0.93,0.07,0,180,120,0.92,0.08,0,0,0,0,0,0,normal,21
0,tcp,eco_i,REJ,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0.16,0.87,0,249,4,0,0.67,0.78,0,0,0,0,0,satan,16
9,tcp,http,SF,718,2308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,0.02,0.02,0,0,0.91,0.09,0,248,28,0.97,0.03,0,0,0,0,0,0,normal,21
1,icmp,other,SH,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0.09,0.94,0,224,9,0,0.92,0.68,0,0,0,0,0,ipsweep,13
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,277,0.0,0.0,0,0,0.97,0.09,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,16
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,468,0.0,0.0,0,0,0.96,0.01,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,19
0,tcp,http,REJ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,503,0.86,0.86,0,0,0.92,0.07,0,255,14,0.2,0,0,0,0.86,0,0,0,back,18
0,tcp,ftp_data,SF,958,11383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,9,0.04,0.04,0,0,0.99,0.01,0,169,201,0.9,0.1,0,0,0,0,0,0,normal,21
0,icmp,other,SF,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0.08,0.89,0,156,6,0,0.58,0.75,0,0,0,0,0,nmap,12
10,tcp,http,SF,2449,4022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,12,0.03,0.03,0,0,0.94,0.06,0,38,173,0.94,0.06,0,0,0,0,0,0,normal,21
0,tcp,http,REJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,138,0.88,0.88,0,0,0.9,0.09,0,255,3,0.08,0,0,0,0.88,0,0,0,teardrop,15
4,tcp,domain_u,SF,1388,9029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0.05,0.05,0,0,0.93,0.07,0,181,113,0.92,0.08,0,0,0,0,0,0,normal,21
43,tcp,telnet,SF,353,376,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,guess_passwd,10
7,tcp,http,SF,2024,9163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.01,0.01,0,0,0.92,0.08,0,59,71,0.92,0.08,0,0,0,0,0,0,normal,21
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,125,0.0,0.0,0,0,0.96,0.07,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,17
4,udp,smtp,SF,1557,3342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0.03,0.03,0,0,0.93,0.07,0,189,222,0.93,0.07,0,0,0,0,0,0,normal,21
5,tcp,ftp_data,SF,1071,11956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0.05,0.05,0,0,0.9,0.1,0,190,160,0.89,0.11,0,0,0,0,0,0,normal,21
4,udp,http,SF,1259,13727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,7,0.05,0.05,0,0,0.94,0.06,0,20,54,0.99,0.01,0,0,0,0,0,0,normal,21
4,tcp,smtp,SF,2253,12093,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0.03,0.03,0,0,0.94,0.06,0,189,129,0.87,0.13,0,0,0,0,0,0,normal,21
4,tcp,smtp,SF,1325,620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0.04,0.04,0,0,0.98,0.02,0,247,103,0.86,0.14,0,0,0,0,0,0,normal,21
0,tcp,private,REJ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,277,0.92,0.92,0,0,0.96,0.02,0,255,19,0.17,0,0,0,0.92,0,0,0,back,15
9,tcp,smtp,SF,2076,10829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9,0.02,0.02,0,0,0.92,0.08,0,251,207,0.87,0.13,0,0,0,0,0,0,normal,21
1,tcp,ftp_data,SF,1237,10012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,0.04,0.04,0,0,1.0,0.0,0,102,42,0.94,0.06,0,0,0,0,0,0,normal,21
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,329,0.0,0.0,0,0,0.98,0.05,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,18
0,tcp,private,S0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,327,0.89,0.89,0,0,0.97,0.01,0,255,28,0.03,0,0,0,0.89,0,0,0,back,18
0,tcp,private,S0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,168,0.9,0.9,0,0,0.97,0.02,0,255,35,0.04,0,0,0,0.9,0,0,0,teardrop,19
0,tcp,other,SF,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0.18,0.89,0,172,6,0,0.64,0.72,0,0,0,0,0,portsweep,14
6,udp,smtp,SF,2257,480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,0.03,0.03,0,0,0.99,0.01,0,115,130,0.92,0.08,0,0,0,0,0,0,normal,21
7,tcp,ftp,SF,137,2602,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,ftp_write,14
0,tcp,private,REJ,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,511,0.82,0.82,0,0,0.97,0.09,0,255,36,0.11,0,0,0,0.82,0,0,0,teardrop,20
0,tcp,private,S0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,116,0.94,0.94,0,0,0.95,0.09,0,255,22,0.04,0,0,0,0.94,0,0,0,neptune,17
0,tcp,http,SF,2333,12067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,12,0.04,0.04,0,0,0.93,0.07,0,71,168,0.98,0.02,0,0,0,0,0,0,normal,21
82,tcp,telnet,SF,4556,5530,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,loadmodule,9
0,tcp,private,S0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,394,0.95,0.95,0,0,0.95,0.04,0,255,1,0.07,0,0,0,0.95,0,0,0,neptune,19
0,tcp,http,S0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,360,0.83,0.83,0,0,0.91,0.02,0,255,43,0.14,0,0,0,0.83,0,0,0,back,19
9,udp,domain_u,SF,475,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0.02,0.02,0,0,0.94,0.06,0,136,220,0.98,0.02,0,0,0,0,0,0,normal,21
0,tcp,http,REJ,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,202,0.88,0.88,0,0,0.96,0.05,0,255,1,0.17,0,0,0,0.88,0,0,0,teardrop,19
1,tcp,http,SF,1346,8352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,12,0.0,0.0,0,0,0.92,0.08,0,79,143,0.99,0.01,0,0,0,0,0,0,normal,21
0,tcp,http,S0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,444,0.83,0.83,0,0,0.94,0.08,0,255,23,0.09,0,0,0,0.83,0,0,0,neptune,18
4,tcp,http,SF,1323,9580,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.04,0.04,0,0,0.91,0.09,0,39,144,0.97,0.03,0,0,0,0,0,0,normal,21
0,tcp,private,REJ,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,206,0.85,0.85,0,0,0.92,0.05,0,255,22,0.19,0,0,0,0.85,0,0,0,teardrop,18
5,icmp,eco_i,SF,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.07,0.93,0,212,4,0,0.59,0.77,0,0,0,0,0,portsweep,16
9,udp,http,SF,465,4723,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0.04,0.04,0,0,0.91,0.09,0,158,242,0.91,0.09,0,0,0,0,0,0,normal,21
0,tcp,http,REJ,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,287,0.81,0.81,0,0,0.99,0.02,0,255,35,0.13,0,0,0,0.81,0,0,0,neptune,18
0,tcp,http,REJ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,232,0.94,0.94,0,0,0.93,0.05,0,255,24,0.2,0,0,0,0.94,0,0,0,teardrop,18
0,tcp,http,REJ,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,245,0.85,0.85,0,0,0.97,0.07,0,255,7,0.1,0,0,0,0.85,0,0,0,neptune,16
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,171,0.0,0.0,0,0,0.93,0.0,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,18
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,472,0.0,0.0,0,0,0.98,0.1,0,255,255,1.0,0,0,0,0.0,0,0,0,smurf,15
7,udp,smtp,SF,219,6101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,4,0.0,0.0,0,0,0.94,0.06,0,215,199,0.97,0.03,0,0,0,0,0,0,normal,21
6,tcp,smtp,SF,724,7561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.02,0.02,0,0,0.96,0.04,0,173,174,0.96,0.04,0,0,0,0,0,0,normal,21
8,tcp,smtp,SF,833,7250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0.05,0.05,0,0,0.98,0.02,0,22,120,0.92,0.08,0,0,0,0,0,0,normal,21
10,udp,domain_u,SF,2452,7357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0.04,0.04,0,0,0.95,0.05,0,20,45,0.87,0.13,0,0,0,0,0,0,normal,21
39,tcp,ftp,SF,300,1221,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,ftp_write,10
8,tcp,smtp,SF,1900,919,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.04,0.04,0,0,0.94,0.06,0,16,252,0.88,0.12,0,0,0,0,0,0,normal,21
0,udp,smtp,SF,2450,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,7,0.01,0.01,0,0,0.97,0.03,0,63,200,1.0,0.0,0,0,0,0,0,0,normal,21
6,tcp,http,SF,221,7793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,0.02,0.02,0,0,0.99,0.01,0,62,60,0.87,0.13,0,0,0,0,0,0,normal,21
0,tcp,http,REJ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,262,0.91,0.91,0,0,1.0,0.05,0,255,21,0.06,0,0,0,0.91,0,0,0,teardrop,20
9,tcp,domain_u,SF,2164,11722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.02,0.02,0,0,0.94,0.06,0,148,90,0.94,0.06,0,0,0,0,0,0,normal,21
10,udp,smtp,SF,804,472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,3,0.02,0.02,0,0,0.9,0.1,0,188,76,0.9,0.1,0,0,0,0,0,0,normal,21
0,tcp,http,S0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,106,0.92,0.92,0,0,0.96,0.09,0,255,17,0.15,0,0,0,0.92,0,0,0,teardrop,17
0,tcp,http,S0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,181,0.86,0.86,0,0,0.92,0.05,0,255,3,0.08,0,0,0,0.86,0,0,0,neptune,20
0,tcp,domain_u,SF,456,12043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0.01,0.01,0,0,0.99,0.01,0,247,246,0.98,0.02,0,0,0,0,0,0,normal,21
0,icmp,other,REJ,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.07,0.92,0,192,4,0,0.93,0.9,0,0,0,0,0,nmap,17
7,udp,http,SF,2454,8707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,11,0.05,0.05,0,0,0.91,0.09,0,126,218,0.96,0.04,0,0,0,0,0,0,normal,21
5,tcp,eco_i,RSTO,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0.16,1.0,0,150,7,0,0.89,0.72,0,0,0,0,0,portsweep,16
10,tcp,http,SF,948,3415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0.04,0.04,0,0,0.94,0.06,0,119,189,0.86,0.14,0,0,0,0,0,0,normal,21
0,tcp,private,REJ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,484,0.84,0.84,0,0,0.95,0.06,0,255,1,0.07,0,0,0,0.84,0,0,0,teardrop,19
2,tcp,http,SF,629,1868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,4,0.04,0.04,0,0,0.97,0.03,0,55,65,0.92,0.08,0,0,0,0,0,0,normal,21
36,tcp,ftp,SF,495,1253,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,warezclient,12
0,tcp,eco_i,REJ,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.1,1.0,0,181,2,0,0.75,0.96,0,0,0,0,0,nmap,12
0,tcp,http,S0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,275,0.8,0.8,0,0,0.9,0.03,0,255,22,0.1,0,0,0,0.8,0,0,0,teardrop,20
